,imdb_id,title,genres,country,production_companies,budget,revenue,duration,actors,director,month,date,year
721,293815,Friday After Next (2002),Comedy,0,Avery Pix;Cube Vision;New Line Cinema,10000000,13010767,85,Ice Cube;Mike Epps;John Witherspoon;Don 'D.C.' Curry;Anna Maria Horsford;Clifton Powell;K.D. Aubert;Bebe Drake;Katt Williams;Rickey Smiley;Terry Crews;Maz Jobrani;Reggie Gaskins;Joel McKinnon Miller;Brian Stepanek;Angela Bowie;Dolores Sheen;Sommore,Marcus Raboy,November,22,2002
722,295238,Personal Velocity (2002),Drama,0,Blue Magic Pictures;Goldheart Pictures;IFC Productions,125000,29943,86,Kyra Sedgwick;Parker Posey;Fairuza Balk;John Ventimiglia;Ron Leibman;Wallace Shawn;David Warshofsky;Leo Fitzpatrick;Tim Guinee;Patti D'Arbanville;Ben Shenkman;Joel de la Fuente;Marceline Hugot;Brian Tarantina;Seth Gilliam;Josh Philip Weinstein;Lou Taylor Pucci;Mara Hobel,Rebecca Miller,December,20,2002
723,101356,Another You (1991),Comedy,0,TriStar Pictures,17000000,1537965,94,Richard Pryor;Gene Wilder;Mercedes Ruehl;Stephen Lang;Vanessa Williams;Phil Rubenstein;Peter Michael Goetz;Billy Beck;Jerry Houser;Kevin Pollak;Craig Richard Nelson;Kandis Chappell;Elsa Raven;Catherine E. Coulson;Norman Glasser;Gil Mandelik;Tammy Hanson;Gian-Carlo Scandiuzzi,Maurice Phillips,July,26,1991
724,83619,Barbarosa (1982),Western,0,Incorporated Television Company (ITC),11000000,285312,90,Willie Nelson;Gary Busey;Isela Vega;Gilbert Roland;Danny De La Paz;Alma Martinez;George Voskovec;Sharon Compton;Howland Chamberlain;Harry Caesar;Wolf Muser;Kai Wulff;Roberto Contreras;Luis Contreras;Itasco Wilson;Bruce Smith;Sonia de León;Joanelle Romero,Fred Schepisi,February,19,1982
725,83678,"Border, The (1982)",Drama,0,Efer Productions;RKO Pictures;Universal Pictures,22000000,516014,108,Jack Nicholson;Harvey Keitel;Valerie Perrine;Warren Oates;Elpidia Carrillo;Shannon Wilcox;Manuel Viescas;Jeff Morris;Mike Gomez;Dirk Blocker;Lonny Chapman;Stacey Pickren;Floyd Levine;James Jeter;Alan Fudge;William Russ;Gary Grubbs;Gary Sexton,Tony Richardson,February,12,1982
726,83717,Cannery Row (1982),Drama,0,Chai Productions;Metro-Goldwyn-Mayer (MGM),11300000,1500000,120,Nick Nolte;Debra Winger;Audra Lindley;Frank McRae;M. Emmet Walsh;Tom Mahoney;John Malloy;James Keane;Sunshine Parker;Santos Morales;John Huston;Ellen Blake;Sharon Ernster;Kathleen Doyle;Mary Margaret Amato;Brenda Hillhouse;Mariko Tse;Colleen O'Grady,David S. Ward,February,12,1982
727,298856,Evelyn (2002),Drama,0,First Look International;Cinerenta Medienbeteiligungs KG;Irish DreamTime,10000000,65344,94,Pierce Brosnan;Julianna Margulies;Aidan Quinn;Sophie Vavasseur;Niall Beagan;Hugh McDonagh;Mairead Devlin;Frank Kelly;Clare Mullen;Alvaro Lucchesi;Garrett Keogh;Daithi O'Suilleabhain;Andrea Irvine;Marian Quinn;Karen Ardiff;Bosco Hogan;Des Braiden;Sorcha Herlihy,Bruce Beresford,December,25,2002
728,168786,Antwone Fisher (2002),Drama,0,Searchlight Pictures;Mundy Lane Entertainment,12500000,210013,120,Denzel Washington;Derek Luke;Joy Bryant;Malcolm David Kelley;Cory Hodges;Salli Richardson-Whitfield;Leonard Earl Howze;Kente Scott;Kevin Connolly;Rainoldo Gooding;Novella Nelson;Stephen Snedden;Leo Nepomuceno;Sung Kang;Cordell Stokes;Ellis Williams;Timothy Reddick;Yolonda Ross,Denzel Washington,January,10,2003
729,91814,Quicksilver (1986),Drama,0,Columbia Pictures;Delphi V Productions;IndieProd Company Productions,10000000,3170215,105,Kevin Bacon;Jami Gertz;Paul Rodriguez;Rudy Ramos;Andrew Smith;Gerald S. O'Loughlin;Laurence Fishburne;Louie Anderson;Charles McCaughan;David Harris;Whitney Kershaw;Joshua Shelley;Georgann Johnson;Nelson Vails;Lou Dinos;Michael Kaye;Joel Weiss;Leila Kane,Thomas Michael Donnelly,February,14,1986
730,290210,Max (2002),Drama,1,AAMPI Inc.;Aconit Pictures;Alliance Atlantis Communications,11000000,30157,106,John Cusack;Noah Taylor;Leelee Sobieski;Molly Parker;Ulrich Thomsen;David Horovitch;Janet Suzman;András Stohl;John Grillo;Anna Nygh;Krisztián Kolovratnik;Peter Capaldi;Yuliya Vysotskaya;János Kulka;Kata Pálfi;Kevin McKidd;Heather Cameron-McLintock;Joel Pitts,Menno Meyjes,June,20,2003
